wheel_mass_kg,wheel_inertia_distribution,wheel_inertia_kg_m2,hub_inertia_kg_m2,motor_rotor_inertia_included_kg_m2,driven_inertia_without_motor_rotor_kg_m2,target_rpm,spinup_time_at_20a_s,two_second_objective_torque_nm,two_second_objective_current_a,available_current_at_target_a,available_torque_at_target_nm,voltage_required_at_20a_v,kinetic_energy_per_wheel_j,pair_contact_energy_reservoir_j,peak_mechanical_power_per_motor_w,calibrated_rebound_event_energy_surrogate_j,predicted_droop_for_surrogate_rpm,predicted_recovery_for_surrogate_s,spinup_time_with_0p2e_minus3_rotor_inertia_s
0.8,LOW_SOLID_DISK_BOUND,0.004000000000000001,1.162108290866641e-06,0.0,0.0040011621082908675,1000,0.6758076067327117,0.20950035808714063,6.758076067327117,20.0,0.62,4.4837037037037035,21.938826196366396,43.87765239273279,64.92624817418906,1.4447156780000003,16.600794271387,0.011218943046408157,0.7095881729003438
0.8,LOW_SOLID_DISK_BOUND,0.004000000000000001,1.162108290866641e-06,0.0,0.0040011621082908675,1250,0.8447595084158896,0.2618754476089258,8.447595084158896,20.0,0.62,5.40962962962963,34.2794159318225,68.558831863645,81.15781021773633,1.4447156780000003,13.240525474873511,0.00894804783305777,0.8869852161254297
0.8,LOW_SOLID_DISK_BOUND,0.004000000000000001,1.162108290866641e-06,0.0,0.0040011621082908675,1500,1.0137114100990676,0.31425053713071094,10.137114100990676,20.0,0.62,6.335555555555556,49.362358941824404,98.72471788364881,97.3893722612836,1.4447156780000003,11.015783217408607,0.007444550092443282,1.0643822593505157
0.8,LOW_SOLID_DISK_BOUND,0.004000000000000001,1.162108290866641e-06,0.0,0.0040011621082908675,1750,1.1826633117822454,0.3666256266524961,11.826633117822455,20.0,0.62,7.261481481481482,67.18765522637209,134.37531045274417,113.62093430483084,1.4447156780000003,9.432851675159572,0.006374792915254242,1.2417793025756014
0.8,LOW_SOLID_DISK_BOUND,0.004000000000000001,1.162108290866641e-06,0.0,0.0040011621082908675,2000,1.3516152134654233,0.41900071617428125,13.516152134654234,20.0,0.62,8.187407407407408,87.75530478546558,175.51060957093117,129.8524963483781,1.4447156780000003,8.248510022481016,0.005574405817403681,1.4191763458006876
0.8,HIGH_THIN_RING_BOUND,0.008000000000000002,1.162108290866641e-06,0.0,0.008001162108290868,1000,1.3514189300853554,0.4189398683264602,13.514189300853554,20.0,0.62,4.4837037037037035,43.871280421009416,87.74256084201883,64.92624817418906,1.4447156780000003,8.266866648381077,0.011172000081113466,1.3851994962529877
0.8,HIGH_THIN_RING_BOUND,0.008000000000000002,1.162108290866641e-06,0.0,0.008001162108290868,1250,1.6892736626066944,0.5236748354080752,16.892736626066945,20.0,0.62,5.40962962962963,68.54887565782722,137.09775131565445,81.15781021773633,1.4447156780000003,6.603599897675414,0.00892422990842827,1.731499370316235
0.8,HIGH_THIN_RING_BOUND,0.008000000000000002,1.162108290866641e-06,0.0,0.008001162108290868,1500,2.0271283951280332,0.6284098024896904,20.271283951280335,20.0,0.62,6.335555555555556,98.7103809472712,197.4207618945424,97.3893722612836,1.4447156780000003,5.498542059118709,0.007430833826563532,2.0777992443794817
0.8,HIGH_THIN_RING_BOUND,0.008000000000000002,1.162108290866641e-06,0.0,0.008001162108290868,1750,2.364983127649372,0.7331447695713054,23.64983127649372,20.0,0.62,7.261481481481482,134.35579628934133,268.71159257868266,113.62093430483084,1.4447156780000003,4.710738075942838,0.006366180610503016,2.4240991184427285
0.8,HIGH_THIN_RING_BOUND,0.008000000000000002,1.162108290866641e-06,0.0,0.008001162108290868,2000,2.702837860170711,0.8378797366529204,27.028378601707107,20.0,0.62,8.187407407407408,175.48512168403767,350.97024336807533,129.8524963483781,1.4447156780000003,4.120592874554337,0.0055686472138475615,2.7703989925059753
0.9,LOW_SOLID_DISK_BOUND,0.004500000000000001,1.162108290866641e-06,0.0,0.004501162108290868,1000,0.7602590221517922,0.23568029686705558,7.6025902215179215,20.0,0.62,4.4837037037037035,24.680382974446776,49.36076594889355,64.92624817418906,1.4447156780000003,14.742927973795934,0.011208444005012402,0.7940395883194243
0.9,LOW_SOLID_DISK_BOUND,0.004500000000000001,1.162108290866641e-06,0.0,0.004501162108290868,1250,0.9503237776897403,0.2946003710838195,9.503237776897402,20.0,0.62,5.40962962962963,38.56309839757309,77.12619679514619,81.15781021773633,1.4447156780000003,11.76274568334496,0.008942733531040054,0.9925494853992806
0.9,LOW_SOLID_DISK_BOUND,0.004500000000000001,1.162108290866641e-06,0.0,0.004501162108290868,1500,1.1403885332276884,0.3535204453005834,11.403885332276884,20.0,0.62,6.335555555555556,55.53086169250526,111.06172338501052,97.3893722612836,1.4447156780000003,9.78810299419223,0.007441493611085614,1.1910593824791367
0.9,LOW_SOLID_DISK_BOUND,0.004500000000000001,1.162108290866641e-06,0.0,0.004501162108290868,1750,1.3304532887656364,0.4124405195173473,13.304532887656364,20.0,0.62,7.261481481481482,75.58367285924325,151.1673457184865,113.62093430483084,1.4447156780000003,8.382505261948001,0.00637287525363084,1.3895692795589925
0.9,LOW_SOLID_DISK_BOUND,0.004500000000000001,1.162108290866641e-06,0.0,0.004501162108290868,2000,1.5205180443035844,0.47136059373411116,15.205180443035843,20.0,0.62,8.187407407407408,98.7215318977871,197.4430637955742,129.8524963483781,1.4447156780000003,7.330559782268194,0.005573124211892473,1.5880791766388487
0.9,HIGH_THIN_RING_BOUND,0.009000000000000003,1.162108290866641e-06,0.0,0.00900116210829087,1000,1.5203217609235167,0.47129974588629014,15.203217609235166,20.0,0.62,4.4837037037037035,49.354393977170176,98.70878795434035,64.92624817418906,1.4447156780000003,7.345045037151789,0.011166831804945144,1.554102327091149
0.9,HIGH_THIN_RING_BOUND,0.009000000000000003,1.162108290866641e-06,0.0,0.00900116210829087,1250,1.9004022011543957,0.5891246823578626,19.004022011543956,20.0,0.62,5.40962962962963,77.11624058932841,154.23248117865683,81.15781021773633,1.4447156780000003,5.8682306072661365,0.00892159869034413,1.942627908863936
0.9,HIGH_THIN_RING_BOUND,0.009000000000000003,1.162108290866641e-06,0.0,0.00900116210829087,1500,2.2804826413852752,0.7069496188294353,22.80482641385275,20.0,0.62,6.335555555555556,111.04738644863292,222.09477289726584,97.3893722612836,1.4447156780000003,4.886673321284741,0.007429315788873587,2.3311534906367237
