case_id,category,friction_coefficient,friction_classification,target_wheel_speed_rad_s,actual_wheel_speed_rad_s,wheel_surface_speed_m_s,actual_wheel_speed_rpm,timestep_s,exit_position_m,exit_velocity_vector_m_s,exit_speed_m_s,elevation_deg,spin_vector_rad_s,spin_rpm,contact_duration_s,sampled_bilateral_duration_s,contact_travel_m,contact_arc_deg_per_wheel,first_contact_position_m,release_position_m,maximum_compression_position_world_m,maximum_compression_position_launcher_local_m,normal_impulse_n_s_per_wheel,tangential_impulse_n_s_per_wheel,mean_normal_force_n_per_wheel,mean_tangential_force_n_per_wheel,peak_normal_force_n_per_wheel,peak_tangential_force_n_per_wheel,maximum_diametral_compression_m,loading_duration_s,unloading_duration_s,near_coulomb_limit_fraction,mean_friction_utilization,mean_slip_velocity_m_s,mean_slip_ratio,wheel_energy_pre_j,wheel_energy_loss_j,postrelease_wheel_energy_fraction,motor_work_during_contact_j,ball_mechanical_energy_gain_j,contact_dissipation_j,energy_residual_fraction,wheel_droop_percent,recovery_time_s,peak_event_current_a,peak_event_torque_nm,estimated_peak_bus_voltage_v,successful_and_clear,secondary_checks_passed
mu_1p2_w160,friction_speed_matrix,1.2,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,160.0,159.69977500000002,15.969977500000002,1525.0205161148097,0.001,"[0.043467, 0.0, 0.362166]","[8.86416, 0.0, 3.05956]",9.377325839449114,19.042663934218268,"[0.0, -0.129079, 0.0]",1.2326136539615256,0.011000000000000232,0.010000000000000231,0.05582138222079421,24.386962503626822,"[-0.0272511, 0.0, 0.338484]","[0.0257387, 0.0, 0.356037]","[0.00158371, 0.0, 0.347707]","[0.0007039484118190961, 0.0, -0.0026963759006483727]",0.16014174000000153,0.19217008144934405,16.014173999999784,19.217008144933963,27.0855,32.502616768987096,0.00799616,0.007000000000000117,0.0030000000000001137,1.0,0.999999890069863,10.9829418957621,0.6903492818177152,172.18176084251695,5.543341880284146,0.967805289868337,1.6240000000000236,2.312146242079669,4.008753966569395,-0.0020763606638478033,1.6203999035064525,0.33899999999999997,15.023677419354838,0.465734,6.234147553113393,True,True
mu_1p2_w200,friction_speed_matrix,1.2,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,200.0,199.56158,19.956158000000002,1905.672714493723,0.001,"[0.0435227, 0.0, 0.362018]","[8.87347, 0.0, 3.03476]",9.378072195206219,18.880880235436113,"[0.0, -0.101554, 0.0]",0.9697692654452604,0.010999999999999788,0.009999999999999787,0.0558258824257172,24.387038166957257,"[-0.0272511, 0.0, 0.338484]","[0.0257758, 0.0, 0.355939]","[0.00159686, 0.0, 0.347673]","[0.0007046766849093658, 0.0, -0.002732823014639806]",0.160139949999998,0.19216803496692833,16.013995000000143,19.21680349669324,27.0855,32.502634682362,0.00799616,0.007000000000000117,0.0029999999999996696,1.0,1.0000006590320683,14.977014269442881,0.7526370145823236,268.8638441900499,6.711675824237545,0.9750368970418599,2.4600000000000364,2.312467933004927,5.543775549114315,-0.0021257084261904324,1.2545400773034567,0.3420000000000001,17.689870967741935,0.548386,7.747952058459429,True,True
mu_1p2_w240,friction_speed_matrix,1.2,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,240.0,239.56,23.956000000000003,2287.629490025667,0.001,"[0.0435568, 0.0, 0.361928]","[8.87913, 0.0, 3.01958]",9.378529358769423,18.781942097828498,"[0.0, -0.0833811, 0.0]",0.7962308535263781,0.010999999999999788,0.009999999999999787,0.055828720970124326,24.386860631855427,"[-0.0272511, 0.0, 0.338484]","[0.0257985, 0.0, 0.355879]","[0.00160498, 0.0, 0.347651]","[0.0007047825458369748, 0.0, -0.002756273455860921]",0.1601393599999932,0.19216717549321516,16.013935999999664,19.216717549321924,27.0855,32.502545097898555,0.00799614,0.006999999999999673,0.0030000000000001137,1.0,0.9999998956350038,18.97671853449983,0.7941096563972179,387.44239902526715,8.069953665889898,0.9791712169700776,3.4440000000000737,2.3126653764556955,7.0809928512914375,-0.0015639873377963252,1.0444147603940597,0.3410000000000002,20.0,0.62,9.252701814909878,True,True
mu_1p2_w280,friction_speed_matrix,1.2,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,280.0,279.9224874371859,27.99224874371859,2673.0628534924267,0.001,"[0.0435798, 0.0, 0.361866]","[8.88294, 0.0, 3.00929]",9.378829849597443,18.714933327249057,"[0.0, -0.070598, 0.0]",0.6741612403440976,0.010999999999999788,0.009999999999999787,0.05583028599246112,24.386834427497124,"[-0.0272511, 0.0, 0.338484]","[0.0258139, 0.0, 0.355837]","[0.0016105, 0.0, 0.347636]","[0.0007048393469538325, 0.0, -0.002772256796363856]",0.1601386599999914,0.19216641084817548,16.01386599999948,19.216641084817958,27.0854,32.50251770076012,0.00799614,0.006999999999999673,0.0030000000000001137,1.0,0.9999999051601477,22.99100304413856,0.8237630383018828,528.998101921206,10.441979610417434,0.9802608372837361,4.346000000000004,2.31279355023207,8.623720561858635,0.0002301200898313306,0.9815172272654326,0.40000000000000036,20.0,0.62,10.68023279071269,True,True
mu_1p2_w300,friction_speed_matrix,1.2,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,300.0,299.94001005025126,29.994001005025126,2864.216113831815,0.001,"[0.0435887, 0.0, 0.361842]","[8.88441, 0.0, 3.00532]",9.378949266868865,18.68908162332553,"[0.0, -0.0655701, 0.0]",0.6261483320417933,0.010999999999999788,0.009999999999999787,0.05583132888441758,24.386781512973176,"[-0.0272511, 0.0, 0.338484]","[0.0258199, 0.0, 0.355822]","[0.00161264, 0.0, 0.347631]","[0.0007051401884456938, 0.0, -0.0027776871825744807]",0.16013846000000873,0.1921663731106573,16.013846000001212,19.21663731106614,27.0854,32.50253040543742,0.00799614,0.006999999999999673,0.0030000000000001137,1.0,1.000001102724358,24.99109557685957,0.8355618851703803,607.3616129168471,11.395116797996252,0.9812383322296723,4.7800000000002,2.312844854298869,9.392367235484292,0.0003053318904349066,0.9288557567843323,0.7360000000000007,20.0,0.62,11.388207829006722,True,True
mu_1p5_w080,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,80.0,79.99680599999999,7.9996806,763.9132263878033,0.001,"[0.0423669, 0.0, 0.363074]","[7.33558, 0.0, 2.63348]",7.793968876432597,19.74818492366697,"[0.0, -1.33721, 0.0]",12.769414887114802,0.010999999999999788,0.009999999999999787,0.058242530985612224,25.42862212239081,"[-0.0272511, 0.0, 0.338484]","[0.0276958, 0.0, 0.357798]","[0.00437613, 0.0, 0.349119]","[0.003810897322329935, 0.0, -0.0023245938087241113]",0.15269496999999918,0.2282968266236536,15.269497000000243,22.829682662365848,26.7812,40.1718005730251,0.00788746,0.007000000000000117,0.0029999999999996696,1.0,0.9981056471580619,2.8900056967865755,0.36122844624016276,43.203987448050626,2.216337859426538,0.9487006179211697,0.46280000000000143,1.5242392632725177,1.0464302525115814,-0.004304162717856089,3.4036433904623538,0.29600000000000026,9.558032258064516,0.296299,3.2020715039452696,True,True
mu_1p5_w120,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,120.0,119.918365,11.9918365,1145.136033434888,0.001,"[0.0420474, 0.0, 0.362238]","[9.79978, 0.0, 3.49308]",10.403715487017127,19.61834166608986,"[0.0, -0.201497, 0.0]",1.9241546140912584,0.009999999999999898,0.008999999999999897,0.05246385336791419,22.9550469982233,"[-0.0272511, 0.0, 0.338435]","[0.0224478, 0.0, 0.355242]","[0.00443627, 0.0, 0.34884]","[0.003771986816556128, 0.0, -0.0026073371413430128]",0.14406151000000011,0.2160922201496034,16.00683444444464,24.01024668328954,26.7725,40.158702329686896,0.00788972,0.007000000000000117,0.0019999999999997797,1.0,0.9999998569485138,6.900298517642209,0.5784902778061838,97.08450788248689,5.0592179980872345,0.9478885137450456,0.902799999999985,3.161326563523518,2.6481902093105716,-0.004759196628363821,2.5695522116232916,0.3540000000000001,13.021451612903226,0.403665,4.749081181180589,True,True
mu_1p5_w160,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,160.0,159.69977500000002,15.969977500000002,1525.0205161148097,0.001,"[0.0422007, 0.0, 0.362005]","[9.82247, 0.0, 3.43518]",10.405833870156682,19.27609487728359,"[0.0, -0.1582, 0.0]",1.5106987198282706,0.010000000000000342,0.009000000000000341,0.05251323839985495,22.97379335514331,"[-0.0272511, 0.0, 0.338484]","[0.0225557, 0.0, 0.355125]","[0.00449617, 0.0, 0.348816]","[0.003820065921101399, 0.0, -0.0026503767708270527]",0.14413222000000153,0.21619813423127227,16.014691111110675,24.022014914584897,26.7826,40.17391964002144,0.0078869,0.007000000000000117,0.002000000000000224,1.0,0.9999994390563343,10.886561791339293,0.6843319308485211,172.18176084251695,6.475417042628209,0.9623919687489383,1.52800000000002,2.902121926203211,4.37389406835016,-0.002172928930803751,1.8470752385217928,0.35799999999999965,15.738967741935484,0.487908,6.262043875694038,True,True
mu_1p5_w200,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,200.0,199.56158,19.956158000000002,1905.672714493723,0.001,"[0.042258, 0.0, 0.361853]","[9.83324, 0.0, 3.4065]",10.40657730224496,19.10746761821627,"[0.0, -0.125035, 0.0]",1.1939962985697081,0.009999999999999898,0.008999999999999897,0.052517186622666676,22.97397316559041,"[-0.0272511, 0.0, 0.338484]","[0.0225915, 0.0, 0.35503]","[0.00451314, 0.0, 0.348771]","[0.0038206215984264748, 0.0, -0.0026984670205946713]",0.14413104000000013,0.2161967824765861,16.0145600000002,24.021864719620954,26.7827,40.17401241128896,0.00788686,0.007000000000000117,0.0019999999999997797,1.0,1.0000013453535816,14.88062090264112,0.7478559011196417,268.8638441900499,7.881077018592748,0.970687479224533,2.3079999999999927,2.9024840374473984,6.100889329829448,-0.0020154797663461945,1.4359377190739793,0.3600000000000003,18.405870967741937,0.570582,7.775876058459429,True,True
mu_1p5_w240,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,240.0,239.56,23.956000000000003,2287.629490025667,0.001,"[0.0422929, 0.0, 0.36176]","[9.83974, 0.0, 3.38907]",10.40703025519288,19.005079621207667,"[0.0, -0.102799, 0.0]",0.9816581396942249,0.009999999999999454,0.008999999999999453,0.05251973442668956,22.973808895155134,"[-0.0272511, 0.0, 0.338484]","[0.0226134, 0.0, 0.354972]","[0.0045236, 0.0, 0.348743]","[0.003820874219226786, 0.0, -0.0027283559446758376]",0.144130649999991,0.2161958876683066,16.01451666666664,24.021765296479973,26.7828,40.17416425783615,0.00788684,0.006999999999999673,0.0019999999999997797,1.0,0.9999993479426147,18.880322941693855,0.7901446522818831,387.44239902526715,9.499341296144792,0.9754819262939644,3.1900000000000546,2.902704469547475,7.830301841159167,-0.001395083814980165,1.1959425613625017,0.36300000000000043,20.0,0.62,9.252701814909878,True,True
mu_1p5_w280,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,280.0,279.9224874371859,27.99224874371859,2673.0628534924267,0.001,"[0.0423164, 0.0, 0.361697]","[9.84411, 0.0, 3.3773]",10.407336690147966,18.93597943563361,"[0.0, -0.0870866, 0.0]",0.8316157720239993,0.009999999999998566,0.008999999999998565,0.05252155909233845,22.97392485921951,"[-0.0272511, 0.0, 0.338484]","[0.0226282, 0.0, 0.354933]","[0.00453071, 0.0, 0.348724]","[0.0038210570510373706, 0.0, -0.002748641867689859]",0.1441303599999784,0.21619554244123565,16.014484444444598,24.021726937918903,26.7828,40.174175592034246,0.00788684,0.006999999999999673,0.0019999999999988916,1.0,0.9999998414618153,22.89470448728644,0.8203785228974132,528.998101921206,12.10588395210209,0.977115449170543,4.012000000000171,2.9028535667700353,9.565978253634535,0.00043927830607134755,1.1104814999485972,0.4460000000000015,20.0,0.62,10.68023279071269,True,True
mu_1p5_w300,friction_speed_matrix,1.5,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,300.0,299.94001005025126,29.994001005025126,2864.216113831815,0.001,"[0.0423255, 0.0, 0.361673]","[9.8458, 0.0, 3.37276]",10.40746307500536,18.909318965205028,"[0.0, -0.0808979, 0.0]",0.7725180402452303,0.010000000000000342,0.009000000000000341,0.05252196411026533,22.97392223515627,"[-0.0272511, 0.0, 0.338484]","[0.0226339, 0.0, 0.354917]","[0.00453345, 0.0, 0.348717]","[0.0038212376678150506, 0.0, -0.0027561568512280534]",0.14413036000001125,0.2161954086251151,16.01448444444509,24.021712069456324,26.7828,40.174155291425855,0.00788684,0.006999999999999673,0.002000000000000668,1.0,0.9999996390405453,24.894898418217245,0.8324078724586055,607.3616129168471,13.166976360254921,0.9783210264194658,4.400000000000091,2.902916192871677,10.430753336771966,0.0005075796344513508,1.0482129575592558,0.8499999999999996,20.0,0.62,11.388207829006722,True,True
mu_2p0_w080,friction_speed_matrix,2.0,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,80.0,79.99680599999999,7.9996806,763.9132263878033,0.001,"[0.0453412, 0.0, 0.364219]","[7.48858, 0.0, 2.81365]",7.99971604114171,20.59247666331351,"[0.0, 0.835454, 0.0]",7.97799802955378,0.010999999999999788,0.009999999999999787,0.06101990947231895,26.597518196121197,"[-0.0272511, 0.0, 0.338484]","[0.030364, 0.0, 0.358582]","[0.000353334, 0.0, 0.347812]","[-0.00041631472112378394, 0.0, -0.002176894799601369]",0.14799143999999995,0.253420958609362,14.799144000000311,25.342095860936737,27.1703,49.906456733894665,0.00799866,0.007000000000000117,0.0029999999999996696,0.7999999999999734,0.8737267053702205,2.545373590251247,0.31877161889380135,43.203987448050626,2.292682757181616,0.9469335380226562,0.4719999999999942,1.6191028001843109,1.1137985039900413,-0.006031775151974776,3.197010140629852,0.30100000000000016,9.291451612903225,0.288035,3.191674858783979,True,True
mu_2p0_w120,friction_speed_matrix,2.0,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,120.0,119.918365,11.9918365,1145.136033434888,0.001,"[0.0535283, 0.0, 0.366764]","[11.1589, 0.0, 4.03759]",11.866894379663956,19.89148582959897,"[0.0, -0.202216, 0.0]",1.9310205583362425,0.009999999999999898,0.008999999999999897,0.0618674244700715,26.949016329361058,"[-0.0272511, 0.0, 0.338435]","[0.0312105, 0.0, 0.358679]","[0.000399892, 0.0, 0.347563]","[-0.0004577275277733249, 0.0, -0.002426802036010016]",0.1338582300000015,0.26771648414290733,14.873136666667003,29.746276015878934,27.1719,54.34366935568691,0.00799838,0.007000000000000117,0.0019999999999997797,1.0,0.9999996625556319,6.032258380064583,0.5058219296501447,97.08450788248689,5.993231419072572,0.9382678910385279,0.9591999999999814,4.108889850250554,2.8350559768769776,-0.006181823838029706,3.185804776441036,0.3770000000000002,14.035903225806452,0.435113,4.788644794083814,True,True
mu_2p0_w160,friction_speed_matrix,2.0,DIAGNOSTIC_ONLY_NOT_PHYSICAL_CALIBRATION,160.0,159.69977500000002,15.969977500000002,1525.0205161148097,0.001,"[0.053738, 0.0, 0.366407]","[11.1904, 0.0, 3.95754]",11.869590347252933,19.476391243406916,"[0.0, -0.20562, 0.0]",1.9635263639133311,0.010000000000000342,0.009000000000000341,0.06192609394463695,26.970358933840398,"[-0.0272511, 0.0, 0.338484]","[0.0313571, 0.0, 0.358482]","[0.000456698, 0.0, 0.347551]","[-0.00040845159047687263, 0.0, -0.0024575071437212166]",0.1338611099999988,0.2677219950770041,14.873456666665971,29.74688834188822,27.1701,54.340066508861774,0.0079987,0.007000000000000117,0.002000000000000224,1.0,0.9999995743341533,10.017349115834751,0.6303611189193984,172.18176084251695,7.731679330029067,0.9550958284303951,1.6040000000000418,3.8501924841047694,4.971643965514641,-0.0033661156975373268,2.3091923579729627,0.379,16.754967741935484,0.519404,6.301667875694038,True,True
