case_id,category,friction_coefficient,target_wheel_speed_rad_s,timestep_s,time_s,time_from_first_contact_s,contact_id,side,ball_x_m,ball_y_m,ball_z_m,ball_vx_m_s,ball_vy_m_s,ball_vz_m_s,ball_speed_m_s,ball_wx_rad_s,ball_wy_rad_s,ball_wz_rad_s,compression_m,compression_rate_m_s,normal_force_n,tangential_force_n,tangential_force_x_n,tangential_force_y_n,tangential_force_z_n,wheel_speed_rad_s,wheel_speed_droop_rad_s,wheel_speed_droop_percent,applied_motor_torque_nm,motor_mechanical_power_w,wheel_rotational_energy_j,wheel_surface_speed_at_contact_m_s,ball_surface_speed_at_contact_m_s,relative_tangential_velocity_x_m_s,relative_tangential_velocity_y_m_s,relative_tangential_velocity_z_m_s,slip_velocity_m_s,slip_ratio,friction_utilization,near_coulomb_limit,ball_contact_power_w,wheel_contact_power_w,contact_x_m,contact_y_m,contact_z_m,wheel_x_m,wheel_y_m,wheel_z_m,wheel_axis_x,wheel_axis_y,wheel_axis_z
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.221,0.0,0,left,-0.0272511,0.0,0.338435,2.81908,0.0,0.85946,2.9471823048464443,0.0,1.97746e-15,0.0,0.000655839,0.657413,1.85414,1.6687216222767656,1.51845,-0.372705,0.583123,119.966,-0.04763499999999965,-0.03972285646156004,0.241702,28.996022132,48.58082634046412,11.996602139500043,2.8686550553944805,-8.307179649620407,2.039006287626353,-3.1901640228991774,9.129289504942184,0.7609896034547201,0.9999973766075231,True,3.562866209310541,-20.016064040867732,-0.0204618,0.0315269,0.340906,1.98094e-17,0.129,0.35,-0.34202,-5.55112e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.221,0.0,1,right,-0.0272511,0.0,0.338435,2.81908,0.0,0.85946,2.9471823048464443,0.0,1.97746e-15,0.0,0.000655839,0.657413,1.85414,1.6687216222767656,1.51845,0.372705,0.583123,-119.966,-0.04763499999999965,-0.03972285646156004,-0.241702,28.996022132,48.58082634046412,11.996602139500043,2.8686550553944805,-8.307179649620407,-2.039006287626353,-3.1901640228991774,9.129289504942184,0.7609896034547201,0.9999973766075231,True,3.562866209310541,-20.016064040867732,-0.0204618,-0.0315269,0.340906,1.98094e-17,-0.129,0.35,-0.34202,5.55112e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.222,0.0009999999999998899,0,left,-0.0243931,0.0,0.3393,2.85802,0.0,0.864883,2.9860175692867243,0.0,-0.00982007,0.0,0.00128977,0.601717,5.10138,4.591237535687846,4.19638,-0.926447,1.61603,119.942,-0.02363499999999874,-0.01970924136598989,0.242924,29.136790408,48.56139044687521,11.99420381368247,2.9201175178405827,-8.295059113737615,1.8313240408042513,-3.1944356165781955,9.07558110267835,0.7566639056379315,0.9999990276460804,True,10.321431147975991,-55.05911349070425,-0.0183793,0.0310577,0.341489,1.58772e-17,0.129,0.35,-0.34202,-4.16334e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.222,0.0009999999999998899,1,right,-0.0243931,0.0,0.3393,2.85802,0.0,0.864883,2.9860175692867243,0.0,-0.00982007,0.0,0.00128977,0.601717,5.10138,4.591237535687846,4.19638,0.926447,1.61603,-119.942,-0.02363499999999874,-0.01970924136598989,-0.242924,29.136790408,48.56139044687521,11.99420381368247,2.9201175178405827,-8.295059113737615,-1.8313240408042513,-3.1944356165781955,9.07558110267835,0.7566639056379315,0.9999990276460804,True,10.321431147975991,-55.05911349070425,-0.0183793,-0.0310577,0.341489,1.58772e-17,-0.129,0.35,-0.34202,4.16334e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.223,0.0019999999999997797,0,left,-0.0214237,0.0,0.340199,2.96936,0.0,0.898666,3.102369963295158,0.0,-0.0351486,0.0,0.00187983,0.554797,8.95833,8.062494527843103,7.39969,-1.44375,2.85727,119.874,0.0443649999999991,0.03699600140478825,0.246301,29.525086073999997,48.50634319934171,11.987397818099483,3.047559520951746,-8.206407754472432,1.601154468760684,-3.1687689460826802,8.941471942535832,0.7459059988011176,0.9999996933757747,True,19.570035948475592,-96.63055101134265,-0.0161861,0.030617,0.342105,1.22808e-17,0.129,0.35,-0.34202,-3.46945e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.223,0.0019999999999997797,1,right,-0.0214237,0.0,0.340199,2.96936,0.0,0.898666,3.102369963295158,0.0,-0.0351486,0.0,0.00187983,0.554797,8.95833,8.062494527843103,7.39969,1.44375,2.85727,-119.874,0.0443649999999991,0.03699600140478825,-0.246301,29.525086073999997,48.50634319934171,11.987397818099483,3.047559520951746,-8.206407754472432,-1.601154468760684,-3.1687689460826802,8.941471942535832,0.7459059988011176,0.9999996933757747,True,19.570035948475592,-96.63055101134265,-0.0161861,-0.030617,0.342105,1.22808e-17,-0.129,0.35,-0.34202,3.46945e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.224,0.0030000000000001137,0,left,-0.0182512,0.0,0.341167,3.17253,0.0,0.96847,3.317059050092416,0.0,-0.0759477,0.0,0.00243243,0.511743,13.1616,11.845406468336154,10.9139,-1.82965,4.22526,119.756,0.1623649999999941,0.1353962756246669,0.25222,30.20485832,48.41089412175713,11.97560393246868,3.2726708356295116,-8.020166033709373,1.3445250891857023,-3.104953243726536,8.704685265386871,0.726868165853951,0.9999971692344188,True,31.981455172771515,-141.82755863154765,-0.0138136,0.0302006,0.342782,9.07272e-18,0.129,0.35,-0.34202,0.0,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.224,0.0030000000000001137,1,right,-0.0182512,0.0,0.341167,3.17253,0.0,0.96847,3.317059050092416,0.0,-0.0759477,0.0,0.00243243,0.511743,13.1616,11.845406468336154,10.9139,1.82965,4.22526,-119.756,0.1623649999999941,0.1353962756246669,-0.25222,30.20485832,48.41089412175713,11.97560393246868,3.2726708356295116,-8.020166033709373,-1.3445250891857023,-3.104953243726536,8.704685265386871,0.726868165853951,0.9999971692344188,True,31.981455172771515,-141.82755863154765,-0.0138136,-0.0302006,0.342782,9.07272e-18,-0.129,0.35,-0.34202,0.0,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.225,0.0040000000000000036,0,left,-0.0147682,0.0,0.342247,3.48299,0.0,1.08039,3.646705621818136,0.0,-0.129255,0.0,0.00294535,0.462932,17.5004,15.75030643436819,14.5639,-2.00132,5.65329,119.582,0.3363650000000007,0.2804949850675505,0.260895,31.198345889999995,48.27031868336648,11.95820594241454,3.6129174551747187,-7.718381289670837,1.060632638612726,-2.9960469127852014,8.347134144749393,0.6980256223170532,0.9999965990852394,True,48.73232694035072,-188.30361734577568,-0.0111788,0.0298109,0.343554,6.29873e-18,0.129,0.35,-0.34202,-5.55112e-17,0.939693
sym_mu_0p9_w120,friction_speed_matrix,0.9,120.0,0.001,2.225,0.0040000000000000036,1,right,-0.0147682,0.0,0.342247,3.48299,0.0,1.08039,3.646705621818136,0.0,-0.129255,0.0,0.00294535,0.462932,17.5004,15.75030643436819,14.5639,2.00132,5.65329,-119.582,0.3363650000000007,0.2804949850675505,-0.260895,31.198345889999995,48.27031868336648,11.95820594241454,3.6129174551747187,-7.718381289670837,-1.060632638612726,-2.9960469127852014,8.347134144749393,0.6980256223170532,0.9999965990852394,True,48.73232694035072,-188.30361734577568,-0.0111788,-0.0298109,0.343554,6.29873e-18,-0.129,0.35,-0.34202,5.55112e-17,0.939693
