time_s,phase,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n,axis,repeat,solver_timestep_s
116.58600000000007,preconditioning_unload,0.01778,-0.0033333333333333335,213.83505007984814,213.87213259432548,-0.03708251447733346,z,2,0.00025
116.66220000000007,preconditioning_unload,0.017526,-0.0033333333333333335,207.80882167556146,207.84511240946958,-0.036290733908117545,z,2,0.00025
116.73840000000007,preconditioning_unload,0.017272,-0.0033333333333333335,201.8681565790776,201.90366124936835,-0.03550467029074866,z,2,0.00025
116.81460000000007,preconditioning_unload,0.017018,-0.0033333333333333335,196.013071445903,196.04779581141347,-0.034724365510470534,z,2,0.00025
116.89080000000007,preconditioning_unload,0.016763999999999998,-0.0033333333333333335,190.2435831813368,190.27753304372362,-0.03394986238683373,z,2,0.00025
116.96700000000007,preconditioning_unload,0.01651,-0.0033333333333333335,184.55970894802843,184.5928901527375,-0.0331812047090807,z,2,0.00025
117.04320000000007,preconditioning_unload,0.016256,-0.0033333333333333335,178.96146617388314,178.99388461115626,-0.032418437273122436,z,2,0.00025
117.11940000000007,preconditioning_unload,0.016002,-0.0033333333333333335,173.44887256033647,173.48053416625737,-0.0316616059209025,z,2,0.00025
117.19560000000007,preconditioning_unload,0.015747999999999998,-0.0033333333333333335,168.02194609102136,168.05285684860303,-0.030910757581665393,z,2,0.00025
117.27180000000007,preconditioning_unload,0.015493999999999999,-0.0033333333333333335,162.68070504085284,162.71087098116837,-0.030165940315526996,z,2,0.00025
117.34800000000007,preconditioning_unload,0.01524,-0.0033333333333333335,157.42516798555755,157.45459518891744,-0.029427203359887244,z,2,0.00025
117.42420000000007,preconditioning_unload,0.014986,-0.0033333333333333335,152.25535381167796,152.28404840885602,-0.028694597178059666,z,2,0.00025
117.50040000000007,preconditioning_unload,0.014731999999999999,-0.0033333333333333335,147.17128172708294,147.19924990059405,-0.027968173511112582,z,2,0.00025
117.57660000000007,preconditioning_unload,0.014478,-0.0033333333333333335,142.17297127201928,142.200219257452,-0.027247985432723,z,2,0.00025
117.65280000000007,preconditioning_unload,0.014223999999999999,-0.0033333333333333335,137.26044233074256,137.2869764181499,-0.026534087407327434,z,2,0.00025
117.72900000000007,preconditioning_unload,0.01397,-0.0033333333333333335,132.4337151437678,132.45954167911984,-0.025826535352024393,z,2,0.00025
117.80520000000007,preconditioning_unload,0.013715999999999999,-0.0033333333333333335,127.69281032078486,127.71793570748714,-0.02512538670228537,z,2,0.00025
117.88140000000007,preconditioning_unload,0.013461999999999998,-0.0033333333333333335,123.03774885428808,123.06217955476995,-0.024430700481872236,z,2,0.00025
117.95760000000007,preconditioning_unload,0.013208,-0.0033333333333333335,118.46855213397323,118.49229467135078,-0.023742537377543727,z,2,0.00025
118.03380000000007,preconditioning_unload,0.012953999999999999,-0.0033333333333333335,113.98524196195966,114.00830292177824,-0.023060959818579363,z,2,0.00025
118.11000000000007,preconditioning_unload,0.0127,-0.0033333333333333335,109.5878405689042,109.61022660096602,-0.022386032061817218,z,2,0.00025
118.18620000000007,preconditioning_unload,0.012445999999999999,-0.0033333333333333335,105.27637063107515,105.29808845135773,-0.021717820282574962,z,2,0.00025
118.26240000000007,preconditioning_unload,0.012191999999999998,-0.0033333333333333335,101.05085528846563,101.07191168113776,-0.021056392672136326,z,2,0.00025
118.33860000000007,preconditioning_unload,0.011937999999999999,-0.0033333333333333335,96.9113181640321,96.93171998357424,-0.02040181954214404,z,2,0.00025
118.41480000000007,preconditioning_unload,0.011683999999999998,-0.0033333333333333335,92.85778338415257,92.87753755758945,-0.019754173436879796,z,2,0.00025
118.49100000000007,preconditioning_unload,0.011430000000000001,-0.0033333333333333335,88.89027560041059,88.90938912966459,-0.019113529253999673,z,2,0.00025
118.56720000000007,preconditioning_unload,0.011175999999999998,-0.0033333333333333335,85.00882001282106,85.02729997719561,-0.01847996437454924,z,2,0.00025
118.64340000000007,preconditioning_unload,0.010922000000000001,-0.0033333333333333335,81.21344239462884,81.2312959534322,-0.017853558803352598,z,2,0.00025
118.71960000000007,preconditioning_unload,0.010668,-0.0033333333333333335,77.50416911882397,77.52140351414471,-0.01723439532074167,z,2,0.00025
118.79580000000007,preconditioning_unload,0.010414,-0.0033333333333333335,73.88102718653717,73.89764974618399,-0.016622559646819468,z,2,0.00025
