time_s,phase,compression_m,compression_rate_m_s,force_n,elastic_force_n,damping_force_n
11.6803656937908,precompression_to_25_4mm,0.022267885645977138,0.0033333333333333335,356.63101439881956,356.57903993550104,0.05197446331851552
11.680615693790799,precompression_to_25_4mm,0.02226871897931047,0.0033333333333333335,356.65103394381623,356.59905656290204,0.05197738091419524
11.680865693790798,precompression_to_25_4mm,0.0222695523126438,0.0033333333333333335,356.6710538633992,356.6190735648347,0.05198029856450148
11.681115693790797,precompression_to_25_4mm,0.022270385645977133,0.0033333333333333335,356.69107415756133,356.63909094129195,0.05198321626937741
11.681365693790797,precompression_to_25_4mm,0.022271218979310465,0.0033333333333333335,356.71109482629566,356.65910869226684,0.05198613402882302
11.681615693790796,precompression_to_25_4mm,0.022272052312643797,0.0033333333333333335,356.73111586959516,356.6791268177523,0.05198905184283831
11.681865693790796,precompression_to_25_4mm,0.02227288564597713,0.0033333333333333335,356.7511372874529,356.6991453177414,0.051991969711480124
11.682115693790795,precompression_to_25_4mm,0.02227371897931046,0.0033333333333333335,356.7711590798617,356.719164192227,0.05199488763469162
11.682365693790794,precompression_to_25_4mm,0.022274552312643792,0.0033333333333333335,356.79118124681474,356.7391834412023,0.0519978056124728
11.682615693790794,precompression_to_25_4mm,0.022275385645977124,0.0033333333333333335,356.81120378830497,356.7592030646601,0.05200072364488051
11.682865693790793,precompression_to_25_4mm,0.022276218979310456,0.0033333333333333335,356.8312267043253,356.7792230625935,0.052003641731801054
11.683115693790793,precompression_to_25_4mm,0.022277052312643788,0.0033333333333333335,356.8512499948688,356.79924343499545,0.052006559873348124
11.683365693790792,precompression_to_25_4mm,0.02227788564597712,0.0033333333333333335,356.8712736599285,356.81926418185895,0.05200947806952172
11.683615693790792,precompression_to_25_4mm,0.02227871897931045,0.0033333333333333335,356.8912976994973,356.83928530317706,0.052012396320208154
11.683865693790791,precompression_to_25_4mm,0.022279552312643783,0.0033333333333333335,356.91132211356813,356.85930679894267,0.05201531462546427
11.68411569379079,precompression_to_25_4mm,0.022280385645977115,0.0033333333333333335,356.93134690213424,356.8793286691489,0.05201823298534691
